,S_NO,NAME,UNIT_NO,DT_ COMM,CAPACITY MW AS ON 31/03/2023,TYPE,STATE,SECTOR,SYSTEM,Fuel1,Fuel2,NET GENERATION(MU),Fuel 1 Consumption (if coal: only national coal) ,Fuel 1 Consumption (only for imported coal),Fuel 2 Consumption,CO2(ton) FUEL-1,"CO2(ton)
FUEL-2",TOTAL CO2(ton),Emission factor (ton/MWh),CDM Registry
I. Coal/ Lignite,1.00,AKALTARA TPP /NARIYARA TPP,0.00,,1800.00,THERMAL,CHATTISGARH,PVT,KSK MAHANADI POWER,COAL,OIL,9889.00,6965,0,2071.00,9580019.68,5450.01,9585469.69,0.97,
,1.00,AKALTARA TPP /NARIYARA TPP,1.00,13-08-2013,600.00,THERMAL,CHATTISGARH,PVT,KSK MAHANADI POWER,COAL,OIL,2778,1978,0.00,846.00,2731103.03,2226.32,2733329.35,0.98,
,1.00,AKALTARA TPP /NARIYARA TPP,2.00,22-08-2014,600.00,THERMAL,CHATTISGARH,PVT,KSK MAHANADI POWER,COAL,OIL,3580,2496,0.00,584.00,3455794.10,1536.84,3457330.94,0.97,
,1.00,AKALTARA TPP /NARIYARA TPP,3.00,18-01-2018,600.00,THERMAL,CHATTISGARH,PVT,KSK MAHANADI POWER,COAL,OIL,3531,2491,0.00,641.00,3393122.55,1686.84,3394809.40,0.96,
,2.00,AKRIMOTA LIG,0.00,,250.00,THERMAL,GUJARAT,STATE,GMDCL,LIGN,OIL,333.53,510.98,0.00,1214.75,652071.94,3656.25,655728.19,1.97,
,2.00,AKRIMOTA LIG,1.00,31-03-2005,125.00,THERMAL,GUJARAT,STATE,GMDCL,LIGN,OIL,187.66,282.96,0.00,622.34,360631.57,1872.96,362504.53,1.93,
,2.00,AKRIMOTA LIG,2.00,19-12-2005,125.00,THERMAL,GUJARAT,STATE,GMDCL,LIGN,OIL,145.87,228.02,0.00,592.41,291440.37,1783.28,293223.65,2.01,
,3.00,AMAR KANTAK,0.00,,210.00,THERMAL,MADHYA PRADESH,STATE,MPGPCL,COAL,OIL,1638.05,1100.15,0.00,179.08,1636967.21,512.13,1637479.34,1.00,
,3.00,AMAR KANTAK EXT,5.00,15-06-2008,210.00,THERMAL,MADHYA PRADESH,STATE,MPGPCL,COAL,OIL,1638.05,1100.15,0.00,179.08,1636967.21,512.13,1637479.34,1.00,
,4.00,AMARAVATI TPP,0.00,,1350.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,9004.00,7415.00,0.00,0.98,9935740.58,3.00,9935743.58,1.10,
,4.00,AMARAVATI TPP,1.00,25-03-2013,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,2014.00,1658.67,0.00,0.07,2222240.70,0.21,2222240.92,1.10,
,4.00,AMARAVATI TPP,2.00,17-02-2014,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,1538.00,1266.60,0.00,0.07,1696956.04,0.21,1696956.25,1.10,
,4.00,AMARAVATI TPP,3.00,03-02-2015,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,1742.00,1435.52,0.00,0.07,1923270.44,0.21,1923270.65,1.10,
,4.00,AMARAVATI TPP,4.00,08-03-2015,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,1746.00,1437.56,0.00,0.07,1926003.57,0.21,1926003.79,1.10,
,4.00,AMARAVATI TPP,5.00,13-03-2015,270.00,THERMAL,MAHARASHTRA,PVT,INDIA BULLS,COAL,OIL,1964.00,1617.64,0.00,0.70,2167269.83,2.14,2167271.97,1.10,
