State,Year,Installed - Bio-Mass Power,Installed - Small Hydro Power,Installed - Solar Power,Installed - Wind Power,Zone,Installed - Waste to Energy,Population,GSDP (crore INR)
Andaman And Nicobar Islands,2006,0.0,5.25,0.1,0.0,South,0.0,366589.0,3114.06
Andaman And Nicobar Islands,2007,0.0,5.25,0.1,1.1,South,0.0,369517.0,3114.06
Andaman And Nicobar Islands,2008,0.0,5.25,0.1,1.1,South,0.0,372344.0,3114.06
Andaman And Nicobar Islands,2009,0.0,5.25,0.1,0.0,South,0.0,375072.0,3114.06
Andaman And Nicobar Islands,2010,0.0,5.25,0.1,0.0,South,0.0,377699.0,3114.06
Andaman And Nicobar Islands,2011,0.0,5.25,0.01,0.0,South,0.0,380581.0,3100.0
Andaman And Nicobar Islands,2012,0.0,5.25,5.1,0.0,South,0.0,382605.0,3450.0
Andaman And Nicobar Islands,2013,0.0,5.25,5.1,0.0,South,0.0,384620.0,3920.0
Andaman And Nicobar Islands,2014,0.0,5.25,5.1,0.0,South,0.0,386629.0,4240.0
Andaman And Nicobar Islands,2015,0.0,5.25,5.1,0.0,South,0.0,389639.0,4650.0
Andaman And Nicobar Islands,2016,0.0,5.25,6.56,0.0,South,0.0,391652.0,5240.0
Andaman And Nicobar Islands,2017,0.0,5.25,6.56,0.0,South,0.0,393673.0,6020.0
Andaman And Nicobar Islands,2018,0.0,5.25,11.73,0.0,South,0.0,394698.0,6850.0
Andaman And Nicobar Islands,2019,0.0,5.25,12.19,0.0,South,0.0,396696.0,7400.0
Andaman And Nicobar Islands,2020,0.0,5.25,29.46,0.0,South,0.0,398703.0,7020.0
Andaman And Nicobar Islands,2021,0.0,5.25,29.49,0.0,South,0.0,399716.0,7820.0
Andaman And Nicobar Islands,2022,0.0,5.25,29.488780975341797,8.481456461595371e-05,South,0.0,401742.0,8780.0
Andaman And Nicobar Islands,2023,0.0,5.25,29.488780975341797,8.481456461595371e-05,South,0.0,402758.0,8761.05
Andaman And Nicobar Islands,2024,0.0,5.25,29.488780975341797,8.481456461595371e-05,South,0.0,403767.0,8761.05
Andhra Pradesh,2006,176.577974434427,104.833097850945,0.0586150952479426,71.7448765834819,South,0.0,47362306.0,216140.0
